seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
2,6,8,results/tversky_sirl_gridrobot/tversky_sirl_dim6_fbank8_seed2.pth,0.17833265366788958,"[0.6299999952316284, 0.49000000953674316, 0.5600000023841858, 0.7450000047683716, 0.7200000286102295, 0.5550000071525574, 0.5350000262260437, 0.5799999833106995]",0.6018750071525574,0.08414784390749654
0,6,16,results/tversky_sirl_gridrobot/tversky_sirl_dim6_fbank16_seed0.pth,0.17761874124122173,"[0.675000011920929, 0.5249999761581421, 0.5799999833106995, 0.6949999928474426, 0.75, 0.5899999737739563, 0.550000011920929, 0.6700000166893005]",0.6293749958276749,0.07396948974317809
1,6,16,results/tversky_sirl_gridrobot/tversky_sirl_dim6_fbank16_seed1.pth,0.1792313419016937,"[0.625, 0.4699999988079071, 0.5699999928474426, 0.7599999904632568, 0.7649999856948853, 0.6100000143051147, 0.5450000166893005, 0.6899999976158142]",0.6293749995529652,0.0971930207100058
2,6,16,results/tversky_sirl_gridrobot/tversky_sirl_dim6_fbank16_seed2.pth,0.17296611994847966,"[0.7300000190734863, 0.6100000143051147, 0.6349999904632568, 0.7549999952316284, 0.7450000047683716, 0.675000011920929, 0.574999988079071, 0.7300000190734863]",0.681875005364418,0.06402819671653949
0,8,2,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank2_seed0.pth,0.1719916327854438,"[0.6549999713897705, 0.5249999761581421, 0.6200000047683716, 0.7900000214576721, 0.7549999952316284, 0.6549999713897705, 0.5099999904632568, 0.6800000071525574]",0.6487499922513962,0.09198336334184268
1,8,2,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank2_seed1.pth,0.17642087520789018,"[0.6850000023841858, 0.49000000953674316, 0.574999988079071, 0.6899999976158142, 0.7400000095367432, 0.5799999833106995, 0.5199999809265137, 0.6650000214576721]",0.6181249991059303,0.08370101770029295
2,8,2,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank2_seed2.pth,0.17890842006666546,"[0.7300000190734863, 0.6850000023841858, 0.7400000095367432, 0.7400000095367432, 0.7400000095367432, 0.6299999952316284, 0.5299999713897705, 0.7049999833106995]",0.6875,0.06937219687117165
0,8,4,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank4_seed0.pth,0.17093631750420335,"[0.6850000023841858, 0.550000011920929, 0.6650000214576721, 0.7950000166893005, 0.7749999761581421, 0.6200000047683716, 0.6050000190734863, 0.6349999904632568]",0.666250005364418,0.07837210456733737
1,8,4,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank4_seed1.pth,0.17972334049180777,"[0.6349999904632568, 0.5049999952316284, 0.5899999737739563, 0.7149999737739563, 0.7400000095367432, 0.5849999785423279, 0.5, 0.5950000286102295]",0.6081249937415123,0.08131487684648432
2,8,4,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank4_seed2.pth,0.1773769260226884,"[0.7649999856948853, 0.6800000071525574, 0.7400000095367432, 0.824999988079071, 0.7300000190734863, 0.7200000286102295, 0.6949999928474426, 0.7749999761581421]",0.7412500008940697,0.043571053795670285
0,8,8,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank8_seed0.pth,0.17260248864848798,"[0.6399999856948853, 0.5350000262260437, 0.6100000143051147, 0.7649999856948853, 0.7400000095367432, 0.5600000023841858, 0.550000011920929, 0.6449999809265137]",0.6306250020861626,0.08013415670006793
1,8,8,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank8_seed1.pth,0.17499046958807088,"[0.6650000214576721, 0.5450000166893005, 0.6000000238418579, 0.7350000143051147, 0.800000011920929, 0.6850000023841858, 0.5350000262260437, 0.6850000023841858]",0.6562500149011612,0.08575947001251515
2,8,8,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank8_seed2.pth,0.1794723125137137,"[0.6499999761581421, 0.5600000023841858, 0.6600000262260437, 0.7799999713897705, 0.7950000166893005, 0.6349999904632568, 0.550000011920929, 0.6349999904632568]",0.6581249982118607,0.08370100874323774
0,8,16,results/tversky_sirl_gridrobot/tversky_sirl_dim8_fbank16_seed0.pth,0.17542612174477817,"[0.6850000023841858, 0.46000000834465027, 0.625, 0.8349999785423279, 0.8050000071525574, 0.574999988079071, 0.47999998927116394, 0.6850000023841858]",0.6437499970197678,0.1282758241927791
