seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
1,4,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank16_seed1.pth,0.17959362021207417,"[0.6150000095367432, 0.5649999976158142, 0.6050000190734863, 0.7400000095367432, 0.7450000047683716, 0.6349999904632568, 0.5799999833106995, 0.6600000262260437]",0.6431250050663948,0.06368563353316062
2,4,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank16_seed2.pth,0.18108609639047946,"[0.5899999737739563, 0.5899999737739563, 0.6349999904632568, 0.6000000238418579, 0.550000011920929, 0.6150000095367432, 0.5350000262260437, 0.6100000143051147]",0.5906250029802322,0.031168637681236698
0,6,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank2_seed0.pth,0.17970209626409625,"[0.625, 0.5649999976158142, 0.550000011920929, 0.6399999856948853, 0.625, 0.574999988079071, 0.5699999928474426, 0.6299999952316284]",0.5974999964237213,0.03344771746031006
1,6,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank2_seed1.pth,0.17962738323940533,"[0.5550000071525574, 0.5149999856948853, 0.5450000166893005, 0.5950000286102295, 0.5699999928474426, 0.6200000047683716, 0.48500001430511475, 0.5350000262260437]",0.5525000095367432,0.040311290035278294
2,6,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank2_seed2.pth,0.17992622370185757,"[0.6050000190734863, 0.4699999988079071, 0.6150000095367432, 0.6899999976158142, 0.7149999737739563, 0.6200000047683716, 0.5350000262260437, 0.6100000143051147]",0.6075000055134296,0.07310094966164903
0,6,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank4_seed0.pth,0.18036208686887123,"[0.6349999904632568, 0.574999988079071, 0.5950000286102295, 0.6949999928474426, 0.7149999737739563, 0.5699999928474426, 0.5649999976158142, 0.6349999904632568]",0.6231249943375587,0.05384801444224238
1,6,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank4_seed1.pth,0.17985443343938967,"[0.5699999928474426, 0.5149999856948853, 0.5649999976158142, 0.7200000286102295, 0.6499999761581421, 0.5450000166893005, 0.4650000035762787, 0.5400000214576721]",0.5712500028312206,0.07457169657132834
2,6,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank4_seed2.pth,0.1801726498994667,"[0.6050000190734863, 0.5, 0.6200000047683716, 0.7149999737739563, 0.6700000166893005, 0.5699999928474426, 0.49000000953674316, 0.6000000238418579]",0.5962500050663948,0.07197004178913373
0,6,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank8_seed0.pth,0.18057670157581673,"[0.5849999785423279, 0.4950000047683716, 0.5600000023841858, 0.6800000071525574, 0.7250000238418579, 0.5649999976158142, 0.5099999904632568, 0.5799999833106995]",0.5874999985098839,0.07361216680139225
1,6,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim6_fbank8_seed1.pth,0.18056094306263382,"[0.574999988079071, 0.5049999952316284, 0.5249999761581421, 0.699999988079071, 0.675000011920929, 0.5649999976158142, 0.5099999904632568, 0.6299999952316284]",0.5856249928474426,0.07024233003911023
